sample_id,noise_level,scale_ratio_true,scale_ratio_est,rotation_deg_true,rotation_deg_est,true_x,true_y,pred_x,pred_y,error_px,match_score,tie_breaker_applied,runtime_ms,pass_5px,pass_4px,pass_2px,pass_1px,pass_0_5px,figure_path
19,medium,10.0,10.0,2.0,2.0,425.99177004851805,443.7485831338572,426.0102233886719,443.8640441894531,0.11692639189744905,0.4585314989089966,True,29768.03200005088,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_019_vis.png
20,high,11.0,11.0,-2.0,-2.5,492.5672948865911,546.132341271889,492.5528259277344,546.3189697265625,0.1871884902022973,0.3198021650314331,True,28199.654299998656,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_020_vis.png
21,low,9.0,9.0,-1.0,-1.0,385.94229793852435,508.6774069040887,385.88995361328125,508.6690979003906,0.05299969742941544,0.5441035628318787,True,32693.652799993288,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_021_vis.png
22,medium,10.0,10.0,0.0,-1.0,354.3,435.5,354.2713317871094,435.5631103515625,0.06931654134970379,0.40092188119888306,True,21520.67449997412,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_022_vis.png
23,high,11.0,11.0,1.0,1.0,442.59888306799024,482.726429501471,442.5531311035156,482.7752380371094,0.0668992930041146,0.34602677822113037,True,21301.51770001976,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_023_vis.png
24,low,9.0,9.0,2.0,2.0,663.9723712520372,563.2048383388557,663.96142578125,563.2254028320312,0.023295959098562972,0.5144079923629761,True,20594.908499973826,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_024_vis.png
25,medium,10.0,10.0,-2.0,-2.0,614.4197840810835,472.77660912306783,614.3287963867188,472.8489074707031,0.1162145068251645,0.4121238589286804,True,20644.79189994745,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_025_vis.png
26,high,11.0,11.0,-1.0,-1.0,340.99683169259555,530.0477703210248,340.9666442871094,530.1279296875,0.08565514277432451,0.32333481311798096,True,20570.564299996477,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_026_vis.png
27,low,9.0,9.0,0.0,-0.5,562.7777777777778,433.44444444444446,562.7166137695312,433.4331970214844,0.06218955240255778,0.5523618459701538,True,30414.381199982017,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_027_vis.png
28,medium,10.0,10.0,1.0,1.0,414.75936043726625,315.05948695070595,414.8396911621094,315.07769775390625,0.08236903973594484,0.44753193855285645,True,25977.51110000536,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_028_vis.png
29,high,11.0,11.0,2.0,2.0,561.7868692151266,498.0242839905761,83.73178100585938,143.5172882080078,595.15701913155,0.3011874258518219,True,23139.180800004397,False,False,False,False,False,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_029_vis.png
